id;song_type;title;time_duration
1;synthesizing navigate Poland;bypassing Towels empowering;48031
2;Refined;Pines;86174
3;Account channels Bedfordshire;GB contextually-based asynchronous;99849
4;budgetary;Forks;34962
5;Generic Concrete Re-contextualized;Rustic;96517
6;Direct Buckinghamshire National;Lesotho Minnesota;13885
7;Steel Facilitator;Turnpike forecast hub;61711
8;Mozambique New;Chief e-enable redefine;4549
9;Sports Practical Pines;client-server;21565
10;Metal one-to-one;multi-byte;94957
